     ('188.138.60.101', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('144.76.137.134', 'GET', '/downloads/product_2'),
     ('80.70.214.71', 'GET', '/downloads/product_2'),
     ('144.76.117.56', 'GET', '/downloads/product_1'),
     ('94.23.21.169', 'GET', '/downloads/product_2'),
     ('198.61.216.151', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('91.194.188.90', 'HEAD', '/downloads/product_2'),
     ('62.75.198.180', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('31.22.86.126', 'GET', '/downloads/product_1'),
     ('84.53.65.28', 'GET', '/downloads/product_2'),
     ('144.92.16.161', 'GET', '/downloads/product_1'),
     ('50.57.209.92', 'GET', '/downloads/product_2'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('62.75.167.106', 'GET', '/downloads/product_2'),
     ('178.32.54.253', 'GET', '/downloads/product_1'),
     ('91.121.161.213', 'GET', '/downloads/product_2'),
     ('91.234.194.89', 'GET', '/downloads/product_2'),
     ('37.187.238.39', 'GET', '/downloads/product_2'),
     ('91.239.186.133', 'GET', '/downloads/product_2'),
     ('87.233.156.242', 'GET', '/downloads/product_2'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('144.76.151.58', 'GET', '/downloads/product_2'),
     ('62.210.138.59', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('83.161.14.106', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('198.61.216.151', 'GET', '/downloads/product_2'),
